path	sha256	size_bytes	description
kaggle/gen001_nvarc_pilot/gen001a_pilot.ipynb	9b3cb031729a61db6a26d9751c896d782e9370c4cb6c3e4187f73a3bec08c9bc	66179	Built (not launched) 24-index pilot notebook, generated from RUN-001's frozen instrumented notebook via src/gen001/build_pilot_notebook.py
kaggle/gen001_nvarc_pilot/kernel-metadata.json	95f6fb6da84e1d1e2b1f2b88ba193204058bfa06a21d84b9f2a7929dc842b4c8	674	Kaggle kernel metadata for the (unlaunched) pilot kernel, mirrors run001_nvarc_frozen's pattern
artifacts/GEN001A/pilot_manifest.json	273ae0009caac79932355043425a4aac7b40765b8805372525c1f6280127bfe3	5834	Frozen 24-index pilot sample (12 Group A / 6 Group B / 6 Group C), generated by src/gen001/build_pilot_manifest.py
artifacts/GEN001A/task_overlap.csv	c490aaffac8298c6ba5a412cdc5a1bf878e8db89a14af79309ebc419eec2675e	9601	Per-task contamination overlap table for all 160 ACQ-001 tasks against ARC-AGI-2 training/evaluation splits
src/gen001/nvarc_adapter.py	f6d19dce5fb9b2db95e01af3e13803a2ab879098c5c971267f9895628882d943	7106	Frozen PilotConfig, MockGenerator, candidate-export logic against the CandidateArchive schema
src/gen001/pilot_runner.py	e20e3e05e9a1b4aaa635d167e407755467bc747d2b84ffedf58373541b179320	4813	CPU-testable orchestration: manifest to archive, resumable, runtime-guarded
src/gen001/analyse_union.py	17956c8ae381dd7b4581e7212829bc2f047facef8d705e9ebe3c285b1e9ca6f6	3061	Oracle-union set-arithmetic analysis, run only after a future pilot completes
src/gen001/build_pilot_manifest.py	75ef99cb342602b8d7bf4db4b5737da275737083a2e01d244ff85349e4a90f48	4436	Deterministic Group A/B/C pilot-sample construction
src/gen001/build_pilot_notebook.py	e4abcac792368fb94bd3773d1770b05893de5ecd83a5d6d4ce16223dd4a9d875	9942	Anchored-patch notebook builder, RUN-001 instrumented notebook to GEN001A pilot notebook
src/gen001/validate_pilot_notebook.py	e3cf747fd0f03b05c9ab24a3fe236492501f8ac4fa46a081903ad0fdb8f208eb	2680	Static, no-GPU checks on the built pilot notebook (no ground-truth access, correct data split, provenance stamped)
